"date","EventProcessedUtcTime","PartitionId","EventEnqueuedUtcTime","metadata_deviceType","metadata_studentId","metadata_uid","telemetry_temperature","telemetry_pressure","telemetry_humidity","telemetry_windSpeed","telemetry_windDirection","IoTHub_ConnectionDeviceId"
2019-07-15T00:00:00.0000000,2019-07-15T11:21:09.0716811Z,1,2019-07-15T11:20:07.2710000Z,"WeatherStation","0CB79D93","FC88BC08C59E66C2",29.4,971.207031,42.200001,5.2,359,"CWF-MX-001"
2019-07-15T00:00:00.0000000,2019-07-15T12:00:03.6092857Z,1,2019-07-15T12:00:03.5030000Z,"WeatherStation","0CB79D93","90C9A3CAFBD627C2",29.9,970.945801,43.299999,5.799999,28,"CWF-MX-001"
2019-07-15T00:00:00.0000000,2019-07-15T11:21:09.0726838Z,1,2019-07-15T11:20:12.4450000Z,"WeatherStation","0CB79D93","3D00D204DADE01B8",29.4,971.228271,42.200001,5.2,3,"CWF-MX-001"
2019-07-15T00:00:00.0000000,2019-07-15T12:00:08.7053227Z,1,2019-07-15T12:00:08.6440000Z,"WeatherStation","0CB79D93","F7B02C4C3431A4B4",29.9,970.886963,43.099998,5.799999,26,"CWF-MX-001"
2019-07-15T00:00:00.0000000,2019-07-15T11:21:09.0726838Z,1,2019-07-15T11:20:17.5880000Z,"WeatherStation","0CB79D93","7253C625B1A4B9B1",29.5,971.210205,42.799999,5.2,6,"CWF-MX-001"
2019-07-15T00:00:00.0000000,2019-07-15T12:00:13.9173321Z,1,2019-07-15T12:00:13.7850000Z,"WeatherStation","0CB79D93","91DC239E4618567D",29.9,970.916504,43,5.799999,31,"CWF-MX-001"
2019-07-15T00:00:00.0000000,2019-07-15T11:21:09.0726838Z,1,2019-07-15T11:20:22.7140000Z,"WeatherStation","0CB79D93","58CB3C5614FC7FB0",29.5,971.186035,42.599998,5.2,5,"CWF-MX-001"
2019-07-15T00:00:00.0000000,2019-07-15T12:00:18.9703411Z,1,2019-07-15T12:00:18.9260000Z,"WeatherStation","0CB79D93","588B96A79460B4C8",29.9,970.890381,42.900002,5.799999,27,"CWF-MX-001"
2019-07-15T00:00:00.0000000,2019-07-15T11:21:09.0726838Z,1,2019-07-15T11:20:27.8710000Z,"WeatherStation","0CB79D93","3C20E568A45A27E6",29.4,971.189209,42.299999,5.2,4,"CWF-MX-001"
2019-07-15T00:00:00.0000000,2019-07-15T12:00:24.5753207Z,1,2019-07-15T12:00:24.4580000Z,"WeatherStation","0CB79D93","61EB930F5A173999",30,970.910645,42.799999,5.799999,28,"CWF-MX-001"
